@relation features

@attribute meanXAcc real
@attribute meanYAcc real
@attribute meanZAcc real
@attribute stdX real
@attribute stdY real
@attribute stdZ real
@attribute avgAcc real
@attribute binX1 real
@attribute binX2 real
@attribute binX3 real
@attribute binX4 real
@attribute binX5 real
@attribute binX6 real
@attribute binX7 real
@attribute binX8 real
@attribute binX9 real
@attribute binX10 real
@attribute binY1 real
@attribute binY2 real
@attribute binY3 real
@attribute binY4 real
@attribute binY5 real
@attribute binY6 real
@attribute binY7 real
@attribute binY8 real
@attribute binY9 real
@attribute binY10 real
@attribute binZ1 real
@attribute binZ2 real
@attribute binZ3 real
@attribute binZ4 real
@attribute binZ5 real
@attribute binZ6 real
@attribute binZ7 real
@attribute binZ8 real
@attribute binZ9 real
@attribute binZ10 real
@attribute peakDistX real
@attribute peakDistY real
@attribute peakDistZ real
@attribute activity {1,2,3,4}


@data
2.9122,5.0319,2.8943,3.2496,4.2252,2.7867,7.3456,0.002,0,0.002,0,0.022,0.07,0.582,0.26,0.058,0.004,0.026,0.034,0.082,0.16,0.22,0.298,0.114,0.032,0.024,0.01,0.002,0,0.002,0.008,0.038,0.246,0.474,0.166,0.04,0.024,496.89,530.44,415.73,3
1.1552,1.8971,2.1415,1.0545,1.5732,1.6269,3.4467,0.004,0.006,0.062,0.224,0.392,0.224,0.056,0.022,0.004,0.006,0.046,0.1,0.136,0.308,0.266,0.1,0.026,0.014,0,0.004,0.008,0.108,0.114,0.328,0.186,0.136,0.088,0.02,0.008,0.004,428.05,638.79,390.75,3
1.3706,2.3949,2.3923,1.3237,1.7949,1.7845,4.0688,0.006,0.006,0.02,0.086,0.288,0.378,0.148,0.042,0.014,0.012,0.008,0.006,0.062,0.122,0.15,0.24,0.2,0.138,0.058,0.016,0.006,0.052,0.134,0.272,0.216,0.162,0.116,0.026,0.012,0.004,549.82,598,481.32,3
1.3975,2.2286,2.2992,1.2861,2.0483,1.9624,3.9588,0.018,0.034,0.162,0.368,0.266,0.104,0.028,0.014,0.004,0.002,0.038,0.072,0.198,0.412,0.176,0.08,0.018,0.004,0,0.002,0.01,0.066,0.22,0.414,0.176,0.096,0.012,0.004,0,0.002,454.79,529.33,527.5,3
1.3963,2.3403,2.18,1.3993,1.9647,1.8851,3.902,0.008,0.016,0.11,0.454,0.292,0.09,0.02,0.006,0,0.004,0.036,0.058,0.118,0.252,0.286,0.158,0.068,0.016,0.004,0.004,0.02,0.092,0.15,0.376,0.176,0.136,0.026,0.014,0.008,0.002,431.62,555.71,520.18,3
1.3522,2.1941,2.0854,1.3264,1.8197,1.6281,3.7157,0.006,0,0.012,0.082,0.448,0.344,0.084,0.018,0.002,0.004,0.012,0.04,0.116,0.196,0.304,0.176,0.104,0.034,0.01,0.008,0.006,0.06,0.13,0.248,0.308,0.166,0.06,0.018,0.002,0.002,507.79,567.53,506.94,3
1.3114,2.1416,2.0972,1.23,1.9962,1.7239,3.7084,0.004,0.002,0.04,0.164,0.404,0.25,0.09,0.03,0.012,0.004,0.008,0.066,0.318,0.422,0.158,0.018,0.006,0,0.002,0.002,0.008,0.016,0.128,0.32,0.32,0.18,0.022,0.004,0,0.002,442.15,664.69,323.23,3
1.7034,2.414,2.2603,1.8456,2.3126,2.0381,4.175,0.006,0.016,0.08,0.396,0.382,0.086,0.02,0.012,0,0.002,0.006,0.04,0.154,0.398,0.276,0.074,0.038,0.006,0.004,0.004,0.006,0.01,0.086,0.174,0.418,0.17,0.098,0.026,0.006,0.006,478.16,575.31,543.82,3
1.3057,2.1739,2.2357,1.2628,1.8651,1.7405,3.8036,0.002,0,0.016,0.058,0.326,0.408,0.144,0.03,0.008,0.008,0.046,0.244,0.398,0.256,0.04,0.014,0,0,0,0.002,0.004,0.006,0.046,0.134,0.272,0.236,0.21,0.068,0.016,0.008,444.15,588.5,568.71,3
1.3346,2.149,2.0677,1.4807,1.9797,1.7218,3.6842,0.002,0.006,0.006,0.028,0.236,0.548,0.136,0.022,0.012,0.004,0.032,0.124,0.356,0.306,0.126,0.042,0.01,0,0,0.004,0.004,0.006,0.056,0.202,0.374,0.222,0.094,0.026,0.014,0.002,438.15,467.78,635.93,3
